ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-4,98528.189422,85923.006137,101935.985224,85923.006137,200,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,241841.746758,38650.0,241334.035524,38650.0,250,250,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,102471.977648,76010.061091,102471.977648,87157.860087,355,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,246659.103783,38250.753375,245792.281157,38250.753375,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,109569.702208,76414.806913,109571.153898,78003.323883,800,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,238705.112867,39116.05359,238705.112867,39366.05359,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,109626.485434,90404.878631,109626.485434,88599.184478,280,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,231675.0,52120.0,231675.0,48675.0,250,200,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,109626.485434,88153.161375,109625.237004,85959.6845,600,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,228677.228849,52216.25,228677.228849,51280.262606,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,100650.052704,74430.233716,109314.387804,74430.233716,350,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,236986.272021,54018.974573,236720.189934,54018.974573,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-5,231851.553183,128323.576229,229683.736467,128323.576229,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-2,239542.659572,54528.679364,236630.189934,54528.679364,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-5,206626.005566,102283.966092,204458.18885,102283.966092,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-2,241772.080619,55049.999032,241123.029245,55049.999032,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,206993.479788,119778.808442,204825.663072,119778.808442,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-2,241772.080619,54079.999032,241313.029245,54079.999032,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109589.387804,75235.061091,109589.387804,74705.233716,350,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,239955.956719,52301.936069,240193.078958,52301.936069,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109589.387804,75735.061091,102746.977648,75735.061091,350,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,241910.488716,51180.0,243335.507677,51180.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,121927.00301,141958.333033,119759.186294,141958.333033,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-2,241910.488716,52300.0,243335.507677,52300.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,119705.085629,86431.63669,120075.608901,86431.63669,100,0,HVAC-S-AHU-B1-14-1-S-KNL,downbranch,non-critical
ZON-2,244340.48052,53227.566805,243695.507677,53227.566805,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,119690.897062,89442.276845,120025.608501,89442.276845,100,0,HVAC-S-AHU-B1-14-1-S-KNL,downbranch,non-critical
ZON-2,244414.67923,54528.679364,248021.775009,54528.679364,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,121175.0,88801.240415,121175.0,88997.408322,100,0,HVAC-S-AHU-B1-14-1-S-KNL,downbranch,non-critical
ZON-2,247910.358504,54173.080688,248211.775009,54173.080688,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,121065.0,89107.408322,120375.608908,89107.408322,100,0,HVAC-S-AHU-B1-14-1-S-KNL,downbranch,non-critical
